Date,Buyer,Title
04/14/1718,"robinson, ranew",dictionary cole latin
04/14/1718,"robinson, ranew",dictionary littleton
04/14/1718,"robinson, ranew",don quixote
04/14/1718,"robinson, ranew",drexelius eternity
04/14/1718,"robinson, ranew",erra pater
04/14/1718,"robinson, ranew",evelyn calendar
04/14/1718,"robinson, ranew",evelyn silva
04/14/1718,"robinson, ranew",francis beaumont & john fletcher plays
04/14/1718,"robinson, ranew",history of literature
04/14/1718,"robinson, ranew",hudibras
04/14/1718,"robinson, ranew",iscorates
04/14/1718,"robinson, ranew",italian dictionary
04/14/1718,"robinson, ranew",johnson works
04/14/1718,"robinson, ranew",laud life
04/14/1718,"robinson, ranew",law dictionary
04/14/1718,"robinson, ranew",life of rochester
04/14/1718,"robinson, ranew",lives of the fathers
04/14/1718,"robinson, ranew",lucian
04/14/1718,"robinson, ranew",lucian dialogues
04/14/1718,"robinson, ranew",mandeville travels
04/14/1718,"robinson, ranew",modern reports
04/14/1718,"robinson, ranew",pastoral care
04/14/1718,"robinson, ranew",patrick heart ease
04/14/1718,"robinson, ranew",patrick mensa mystica
04/14/1718,"robinson, ranew",pharmacopoeia
04/14/1718,"robinson, ranew",pilgrim
04/14/1718,"robinson, ranew",polity
04/14/1718,"robinson, ranew",rules of civility
04/14/1718,"robinson, ranew",salmon dispensatory
04/14/1718,"robinson, ranew",schickard hebrew grammar
04/14/1718,"robinson, ranew",seven champions
04/14/1718,"robinson, ranew",shares in some trials
04/14/1718,"robinson, ranew",sherlock death
04/14/1718,"robinson, ranew",sherlock furture state
04/14/1718,"robinson, ranew",sherlock judgement
04/14/1718,"robinson, ranew",sherlock pieces
04/14/1718,"robinson, ranew",sherlock preservative against popery
04/14/1718,"robinson, ranew",sherlock sermons
04/14/1718,"robinson, ranew",sprat royal society
04/14/1718,"robinson, ranew",stowe survey of london
04/14/1718,"robinson, ranew",taylor on the sacrament
04/14/1718,"robinson, ranew",tithing table
04/14/1718,"robinson, ranew",trials regicides
04/14/1718,"robinson, ranew",tully of thoughts
04/14/1718,"robinson, ranew",valentine devotions
04/14/1718,"robinson, ranew",wake on death
04/14/1718,"robinson, ranew",wake sermons
04/14/1718,"robinson, ranew",wilkins natural religion
04/14/1718,"robinson, ranew",wilkins sermons
04/14/1718,"robinson, ranew",william sermons
04/14/1718,"tonson, jacob i",alcoran of mahomet
04/14/1718,"tonson, jacob i",almost christian
04/14/1718,"tonson, jacob i",boyle against swearing
04/14/1718,"tonson, jacob i",charnock works
04/14/1718,"tonson, jacob i",conant sermons
04/14/1718,"tonson, jacob i",concordance
04/14/1718,"tonson, jacob i",english exercises
04/14/1718,"tonson, jacob i",eutropius
04/14/1718,"tonson, jacob i",flavel catechism
04/14/1718,"tonson, jacob i",flavel mental errors
04/14/1718,"tonson, jacob i",flavel personal reformation
04/14/1718,"tonson, jacob i",flavel remains
04/14/1718,"tonson, jacob i",flavel scheme
04/14/1718,"tonson, jacob i",god sovereignty
04/14/1718,"tonson, jacob i",helvici colloquia
04/14/1718,"tonson, jacob i",hospital surgeon
04/14/1718,"tonson, jacob i",lives of the philosphers
04/14/1718,"tonson, jacob i",maps of england
04/14/1718,"tonson, jacob i",morden geography
04/14/1718,"tonson, jacob i",poole annotations
04/14/1718,"tonson, jacob i",the school of manners
04/14/1718,"tonson, jacob i",william sermons
04/14/1718,"tonson, jacob ii",alcoran of mahomet
04/14/1718,"tonson, jacob ii",almost christian
04/14/1718,"tonson, jacob ii",boyle against swearing
04/14/1718,"tonson, jacob ii",charnock works
04/14/1718,"tonson, jacob ii",conant sermons
04/14/1718,"tonson, jacob ii",concordance
04/14/1718,"tonson, jacob ii",english exercises
04/14/1718,"tonson, jacob ii",eutropius
04/14/1718,"tonson, jacob ii",flavel catechism
04/14/1718,"tonson, jacob ii",flavel mental errors
04/14/1718,"tonson, jacob ii",flavel personal reformation
04/14/1718,"tonson, jacob ii",flavel remains
04/14/1718,"tonson, jacob ii",flavel scheme
04/14/1718,"tonson, jacob ii",god sovereignty
04/14/1718,"tonson, jacob ii",helvici colloquia
04/14/1718,"tonson, jacob ii",hospital surgeon
04/14/1718,"tonson, jacob ii",lives of the philosphers
04/14/1718,"tonson, jacob ii",maps of england
04/14/1718,"tonson, jacob ii",morden geography
04/14/1718,"tonson, jacob ii",poole annotations
04/14/1718,"tonson, jacob ii",the school of manners
04/14/1718,"tonson, jacob ii",william sermons
04/14/1718,"ward, aaron",allain guide to heaven
04/14/1718,"ward, aaron",allein alarm
04/14/1718,"ward, aaron",baxter life
04/14/1718,"ward, aaron",baxter life abridged
04/14/1718,"ward, aaron",burkitt on baptism
04/14/1718,"ward, aaron",burkitt poor man help
04/14/1718,"ward, aaron",bury hymns
04/14/1718,"ward, aaron",calamy godly man ark
04/14/1718,"ward, aaron",catechism
04/14/1718,"ward, aaron",doolittle catechism
04/14/1718,"ward, aaron",flavel fear
04/14/1718,"ward, aaron",flavel fountain of life
04/14/1718,"ward, aaron",flavel method of grace
04/14/1718,"ward, aaron",flavel navigation spiritualised
04/14/1718,"ward, aaron",flavel providence
04/14/1718,"ward, aaron",flavel soul
04/14/1718,"ward, aaron",flavel suffering
04/14/1718,"ward, aaron",flavel touchstone sincer
04/14/1718,"ward, aaron",grammar wase
04/14/1718,"ward, aaron",henry family religion
04/14/1718,"ward, aaron",henry four discourses
04/14/1718,"ward, aaron",henry friendly visits
04/14/1718,"ward, aaron",henry great britain joys
04/14/1718,"ward, aaron",henry hymns
04/14/1718,"ward, aaron",henry of meekness
04/14/1718,"ward, aaron",henry philip life
04/14/1718,"ward, aaron",henry sacrament
04/14/1718,"ward, aaron",henry scripture catechism
04/14/1718,"ward, aaron",henry sermons
04/14/1718,"ward, aaron",ja[sic] life
04/14/1718,"ward, aaron",looking glass
04/14/1718,"ward, aaron",lye spelling
04/14/1718,"ward, aaron",mason hymns
04/14/1718,"ward, aaron",meads christian
04/14/1718,"ward, aaron",poole annotations
04/14/1718,"ward, aaron",shower sacrament
04/14/1718,"ward, aaron",spelling ronksley
04/14/1718,"ward, aaron",vestibulum technicum
04/14/1718,"ward, aaron",vincent of catechism
04/14/1718,"ward, aaron",vincent of prayer
04/14/1718,"ward, aaron",watson body of divinity
11/01/1718,"bell, andrew",stephen college trial
11/01/1718,"bell, andrew",trial of the seven bishops
11/01/1718,blaq,ethiopics
11/01/1718,blaq,lives of the beauties
11/01/1718,blaq,love letters
11/01/1718,blaq,persian and turkish tales
11/01/1718,blaq,thomas rymer poems
11/01/1718,blaq,trojan tales
11/01/1718,"bowyer, jonas",courts leet and baron
11/01/1718,"brown, daniel i",phaedrus
11/01/1718,"brown, daniel ii",phaedrus
11/01/1718,"clarke, john (poultry)",dugdale
11/01/1718,"gosling, robert",walker epictetus
11/01/1718,"king, charles",defence of the church of england
11/01/1718,"king, charles",martindale survey
11/01/1718,"knapton, james",calamy sermons
11/01/1718,"knapton, john",calamy sermons
11/01/1718,"lintot, bernard",the daily courant
11/01/1718,"mears, william",art of poetry
11/01/1718,"mears, william",censors
11/01/1718,"mears, william",debtor and creditor
11/01/1718,"mears, william",dictionary ozell french
11/01/1718,"mears, william",gentleman library
11/01/1718,"mears, william",guide to bookkeeping
11/01/1718,"mears, william",history of trials
11/01/1718,"mears, william",letters from a lady at paris
11/01/1718,"mears, william",spectator
11/01/1718,"mears, william",the countess of pembroke arcadia
11/01/1718,"osborn, john (lombard)",dictionary boyer french
11/01/1718,"osborn, john (lombard)",dictionary latin
11/01/1718,"osborn, john (lombard)",levinz reports
11/01/1718,"osborn, john (lombard)",ventris reports
11/01/1718,"peele, john",daniel poems
11/01/1718,"peele, john",laws of assize
11/01/1718,"peele, john",loves of antiochus and stratonicae
11/01/1718,"peele, john",poems
11/01/1718,"peele, john",wycherly works
11/01/1718,"shuckburgh, john",theatrum scotiae
11/01/1718,"simon, edward",bulstrode essays
11/01/1718,"ward, aaron",lilly register
11/01/1718,"wilkins, richard",scrivener guide
11/01/1718,"wilkins, richard",tully offices
11/01/1718,"woodward, thomas",bridgeman conveyances
11/01/1718,"woodward, thomas",law of travelling
11/01/1718,"woodward, thomas",liber valorum
11/01/1718,"woodward, thomas",review of the statutes
11/01/1718,"woodward, thomas",tully tusculan questions
11/01/1718,"woodward, thomas",william temple memoirs
03/25/1719,"ballard, samuel",search after truth
03/25/1719,"bateman, christopher",cosin devotions
03/25/1719,"bateman, christopher",countess of morton devotions
03/25/1719,"bateman, christopher",hatton psalter
03/25/1719,"bateman, christopher",patrick christian sacrifice
03/25/1719,"bateman, christopher",patrick devout christian
03/25/1719,"bateman, christopher",patrick help to communicants
03/25/1719,"bateman, christopher",patrick psalms
03/25/1719,"bateman, christopher",taylor golden grove
03/25/1719,"bateman, christopher",taylor life of christ
03/25/1719,"bateman, christopher",taylor living and dying
03/25/1719,"bateman, christopher",the penitent pardoned
03/25/1719,"bateman, christopher",winter evening conference
03/25/1719,"batley, jeremiah",dupin canons
03/25/1719,"batley, jeremiah",herodotus
03/25/1719,"batley, jeremiah",history of siam
03/25/1719,"batley, jeremiah",simon new testament
03/25/1719,"bell, andrew",vitruvius britannicus
03/25/1719,"bettesworth, arthur",justin
03/25/1719,"bowyer, jonas",adams' sermons
03/25/1719,"bowyer, jonas",aesop lestrange
03/25/1719,"bowyer, jonas",answer to fontenelle oracles
03/25/1719,"bowyer, jonas",aristotle poesie
03/25/1719,"bowyer, jonas",byshe sermons
03/25/1719,"bowyer, jonas",dionysius halicarnasseus
03/25/1719,"bowyer, jonas",dugdale monasticon
03/25/1719,"bowyer, jonas",history of valentinus gentilis
03/25/1719,"bowyer, jonas",justin martyr second apology
03/25/1719,"bowyer, jonas",pindar and horace
03/25/1719,"bowyer, jonas",sacheverell collection of passages
03/25/1719,"bowyer, jonas",sacheverell defence of queen title
03/25/1719,"bowyer, jonas",sacheverell sermon
03/25/1719,"bowyer, jonas",sacheverell speech
03/25/1719,"bowyer, jonas",south animadversions on sherlock
03/25/1719,"bowyer, jonas",south tritheism
03/25/1719,"bowyer, jonas",stebbing abridgement of claget
03/25/1719,"bowyer, jonas",stebbing catechism
03/25/1719,"bowyer, jonas",stebbing four pieces against the bishop of bangor
03/25/1719,"bowyer, jonas",thucydides
03/25/1719,"bowyer, jonas",trapp on peace
03/25/1719,"bowyer, jonas",trapp poetical lectures
03/25/1719,"bowyer, jonas",trapp preservative
03/25/1719,"bowyer, jonas",xenophon cyropoedia
03/25/1719,"brown, daniel i",harris voyages
03/25/1719,"brown, daniel i",voyage to the world of caresius
03/25/1719,"brown, daniel ii",harris voyages
03/25/1719,"brown, daniel ii",voyage to the world of caresius
03/25/1719,"curll, edmund",duke sermons
03/25/1719,"curll, edmund",smalridge orations
03/25/1719,"curll, edmund",smalridge sermons
03/25/1719,"gosling, robert",lowth isaiah
03/25/1719,"gosling, robert",lowth jeremiah
03/25/1719,"gosling, robert",lowth reading the scriptures
03/25/1719,"gosling, robert",lowth sermons
03/25/1719,"innys, john",duke of norfolk trial
03/25/1719,"innys, john",life of dr field
03/25/1719,"innys, john",life of mr sage
03/25/1719,"innys, john",lowthorp abridgement
03/25/1719,"innys, william",duke of norfolk trial
03/25/1719,"innys, william",life of dr field
03/25/1719,"innys, william",life of mr sage
03/25/1719,"innys, william",lowthorp abridgement
03/25/1719,"jauncey, thomas",phillip poems
03/25/1719,"king, richard",answer to the bishop of oxford
03/25/1719,"king, richard",brett against the lutherans
03/25/1719,"king, richard",brett independency of church
03/25/1719,"king, richard",brett tradition
03/25/1719,"king, richard",brett vindication
03/25/1719,"king, richard",bretty episcopacy
03/25/1719,"king, richard",catechism of the church
03/25/1719,"king, richard",dunbury catechism
03/25/1719,"king, richard",fiddes sermon
03/25/1719,"king, richard",kettlewell works
03/25/1719,"king, richard",lay baptism
03/25/1719,"king, richard",lay baptism invalid
03/25/1719,"king, richard",measuring
03/25/1719,"king, richard",mystical books
03/25/1719,"king, richard",nullity
03/25/1719,"king, richard",sacerdotal powers
03/25/1719,"king, richard",spicilegium
03/25/1719,"king, richard",supplement to lay baptism
03/25/1719,"knaplock, robert",dictionary ainsworth english & latin
03/25/1719,"knaplock, robert",musae anglicanae
03/25/1719,"knapton, james",bossue on epic poetry
03/25/1719,"knapton, james",de literis inventis
03/25/1719,"knapton, james",homer
03/25/1719,"knapton, james",iliad
03/25/1719,"knapton, james",sighs on the death of queen anne
03/25/1719,"knapton, john",bossue on epic poetry
03/25/1719,"knapton, john",de literis inventis
03/25/1719,"knapton, john",homer
03/25/1719,"knapton, john",iliad
03/25/1719,"knapton, john",sighs on the death of queen anne
03/25/1719,"leake, james",suetonius
03/25/1719,"mears, william",history of attainders
03/25/1719,"mears, william",metamorphoses
03/25/1719,"midwinter, daniel",boyle against bentley
03/25/1719,"midwinter, daniel",christian eloquence
03/25/1719,"midwinter, daniel",cork books about health
03/25/1719,"midwinter, daniel",epistolae obscurorum virorum
03/25/1719,"osborn, john (lombard)",delphin ovid epistles
03/25/1719,"osborn, john (lombard)",genealogical history
03/25/1719,"osborne, thomas i",marshal defence of the constitution
03/25/1719,"osborne, thomas i",marshall letter to clergyman
03/25/1719,"osborne, thomas i",marshall penitential discipline
03/25/1719,"osborne, thomas i",marshall sermon
03/25/1719,"osborne, thomas i",marshall st cyprian
03/25/1719,"osborne, thomas ii",marshal defence of the constitution
03/25/1719,"osborne, thomas ii",marshall letter to clergyman
03/25/1719,"osborne, thomas ii",marshall penitential discipline
03/25/1719,"osborne, thomas ii",marshall sermon
03/25/1719,"osborne, thomas ii",marshall st cyprian
03/25/1719,"robinson, ranew",delphin terence
03/25/1719,"strahan, george",introductio ad veram astronomiam
03/25/1719,"strahan, george",introductio ad veram phisicam
03/25/1719,"strahan, george",stillingfleet sermons
03/25/1719,"strahan, george",stratford charge
03/25/1719,"strahan, george",stratford sermon
03/25/1719,"taylor, william",stanhope st. augustine meditations
03/25/1719,"walthoe, john ii",introduction sales
03/25/1719,"walthoe, john ii",nichols conference
03/25/1719,"walthoe, john ii",nichols consolation
03/25/1719,"walthoe, john ii",nichols discourses
03/25/1719,"walthoe, john ii",religion of a prince
03/25/1719,"ward, thomas",history of england
03/25/1719,"ward, thomas",history of henry viii
03/25/1719,"ward, thomas",voyage to the levant
03/25/1719,"willford, john",art of speaking
03/25/1719,"willford, john",athanasius against the arians
03/25/1719,"willford, john",delaune sermons
03/25/1719,"willford, john",letter to king james
03/25/1719,"willford, john",nature and place of hell
03/25/1719,"willford, john",puffendorf abridged
03/25/1719,"woodward, thomas",adams' self-murder
03/25/1719,"woodward, thomas",adams' sermons
03/25/1719,"woodward, thomas",atterbury convocations
03/25/1719,"woodward, thomas",brown dialogues
03/25/1719,"woodward, thomas",gale sermons
03/25/1719,"woodward, thomas",history of spain
03/25/1719,"woodward, thomas",janes sermons
03/25/1719,"woodward, thomas",lives of the princes of orange
03/25/1719,"woodward, thomas",lowth inspiration
03/25/1719,"woodward, thomas",meggott sermons
03/25/1719,"woodward, thomas",stradling sermons
03/25/1719,"woodward, thomas",talbot sermon
03/25/1719,"woodward, thomas",william king miscellanies
03/30/1719,"ballard, samuel",change of this world
03/30/1719,"ballard, samuel",description of ireland
03/30/1719,"ballard, samuel",echard gazeteer
03/30/1719,"ballard, samuel",end of controversy
03/30/1719,"ballard, samuel",flanders
03/30/1719,"ballard, samuel",french grammar boyer
03/30/1719,"ballard, samuel",key of the mathematics
03/30/1719,"ballard, samuel",owen ordination
03/30/1719,"ballard, samuel",quiet mind
03/30/1719,"ballard, samuel",scripture herbal
03/30/1719,"ballard, samuel",universal redemption
03/30/1719,"ballard, samuel",witches
03/30/1719,"bateman, christopher",comes commercii
03/30/1719,"bateman, christopher",dictionary boyer french
03/30/1719,"bateman, christopher",english examples
03/30/1719,"bateman, christopher",juvenal
03/30/1719,"bateman, christopher",latin testament
03/30/1719,"bateman, christopher",pantheon
03/30/1719,"bateman, christopher",potter antiquities of greece
03/30/1719,"bell, andrew",reflections on ridicule
03/30/1719,"bell, andrew",vitruvius britannicus
03/30/1719,"bell, andrew",wilkins mathematical works
03/30/1719,"bettesworth, arthur",british empire in america
03/30/1719,"bettesworth, arthur",exercitia latina
03/30/1719,"brown, daniel i",plot oxfordshire
03/30/1719,"brown, daniel ii",plot oxfordshire
03/30/1719,"clements, henry",ovid epistles
03/30/1719,"conyers, george",curiosities
03/30/1719,"cowse, benjamin",glossographia anglicana
03/30/1719,"cowse, benjamin",harris lexicon technicum
03/30/1719,"darby, john",treatise on trade
03/30/1719,"franklin, richard",boccaccio novels
03/30/1719,"franklin, richard",dictionarium rusticum
03/30/1719,"franklin, richard",dunois works
03/30/1719,"gosling, robert",treatise of sea laws
03/30/1719,"hooke, john",theory of the earth
03/30/1719,"knaplock, robert",clergyman vade mecum
03/30/1719,"knaplock, robert",curtius
03/30/1719,"knaplock, robert",dictionary danet
03/30/1719,"knaplock, robert",florus
03/30/1719,"knaplock, robert",nepos
03/30/1719,"knaplock, robert",plato
03/30/1719,"knaplock, robert",young sermons
03/30/1719,"knapton, james",calamy sermons
03/30/1719,"knapton, james",dictionarium rusticum
03/30/1719,"knapton, james",historical dictionary
03/30/1719,"knapton, john",calamy sermons
03/30/1719,"knapton, john",dictionarium rusticum
03/30/1719,"knapton, john",historical dictionary
03/30/1719,"meadows, william",mathematics
03/30/1719,"mears, william",present state of britain
03/30/1719,"midwinter, daniel",charnock works
03/30/1719,"midwinter, daniel",florus
03/30/1719,"midwinter, daniel",gregory astronomy
03/30/1719,"osborn, john (lombard)",course of chemistry
03/30/1719,"osborn, john (lombard)",hick devotions
03/30/1719,"peele, john",delphin metamorphoses
03/30/1719,"peele, john",stowe survey of london
03/30/1719,"pemberton, john i",tillotson sermons
03/30/1719,"robinson, ranew",echard gazeteer
03/30/1719,"robinson, ranew",english examples
03/30/1719,"robinson, ranew",horace
03/30/1719,"robinson, ranew",paul scarron works
03/30/1719,"robinson, ranew",potter antiquities of greece
03/30/1719,"robinson, ranew",xenophon greek and latin
03/30/1719,"round, james",tillotson sermons
03/30/1719,"sanders, theodore",sydenhami opera universa medica
03/30/1719,"sanders, theodore",tacitus
03/30/1719,"sprint, benjamin",copybooks
03/30/1719,"sprint, john",copybooks
03/30/1719,"taylor, william",genealogical history
03/30/1719,"taylor, william",history of the bible
03/30/1719,"taylor, william",suetonius
03/30/1719,"ward, aaron",cicero orations
03/30/1719,"ward, aaron",mathematical dictionary
03/30/1719,"ward, aaron",salmon polygraph
03/30/1719,"ward, thomas",beveridge chronology
03/30/1719,"ward, thomas",blackall sermons
03/30/1719,"ward, thomas",comes commercii
03/30/1719,"wilkins, richard",overal convocation
03/30/1719,"willford, john",erasmus
03/30/1719,"willford, john",hick devotions
03/30/1719,"woodward, thomas",harris voyages
03/30/1719,"woodward, thomas",history of buccaniers
03/30/1719,"woodward, thomas",nelson justice
03/30/1719,"wyatt, john",english examples
03/30/1719,"wyatt, john",hicks kempis
03/30/1719,"wyatt, john",scripture maps
03/25/1720,"taylor, william",stanhope kempis
07/23/1720,"ballard, samuel",baker chronicle
07/23/1720,"bettesworth, arthur",young clerk guide
